iso3,name,pop_thousands,group,mean_pct_high,mean_pct_low,mean_pct_medium,pct_inadequate_high,pct_inadequate_low,pct_inadequate_medium
,World,7575436,world,153.61,120.86,137.22,26.48,44.74,34.34
,East Asia & Pacific,2307038,region,171.59,132.17,151.68,20.38,37.28,27.89
,Europe & Central Asia,912942,region,172.42,127.78,147.16,14.73,36.3,24.85
,Latin America & Caribbean,624656,region,177.19,135.95,156.23,23.41,40.6,30.99
,Middle East & North Africa,460509,region,171.37,134.26,152.88,15.3,31.24,21.54
,North America,369802,region,167.92,120.99,139.45,14.47,40.29,27.5
,South Asia,1828298,region,113.49,93.76,105.26,42.47,65.57,51.83
,Sub-Saharan Africa,1072189,region,140.98,122.25,133.58,33.08,42.2,36.25
AFG,Afghanistan,35957,country,149.75,133.99,144.33,16.01,25.87,18.95
ALB,Albania,2861,country,147.27,113.26,130.25,24.48,46.45,34.17
DZA,Algeria,41899,country,181.52,140.51,161.37,7.01,22.32,12.55
AGO,Angola,30630,country,104.83,84.46,95.83,50.02,74.94,61.1
ATG,Antigua & Barbuda,90,country,158.6,118.39,136.7,17.56,46.48,30.85
ARG,Argentina,44152,country,181.83,135.77,156.76,12.01,34.36,21.73
ARM,Armenia,2871,country,225.7,175.52,201.35,3.74,12.54,6.85
AUS,Australia,25005,country,156.22,113.2,130.58,16.79,45.41,31.16
AUT,Austria,8776,country,141.86,102.43,118.1,20.7,54.3,38.59
AZE,Azerbaijan,9939,country,241.33,185.4,213.26,2.07,8.75,4.32
BHS,Bahamas,389,country,123.06,90.32,104.3,47.17,69.8,59.61
BHR,Bahrain,1472,country,196.85,142.5,164.35,6.67,23.29,14.08
BGD,Bangladesh,160973,country,118.27,98.77,110.4,36.32,59.68,45.15
BRB,Barbados,278,country,114.69,86.66,99.95,52.41,77.92,66.64
BLR,Belarus,9376,country,149.55,112.92,130.24,32.21,51.21,41.2
BEL,Belgium,11339,country,205.67,148.84,171.66,2.66,18.54,9.15
BLZ,Belize,375,country,146.41,116.61,132.84,28.27,51.85,37.97
BEN,Benin,12119,country,131.91,116.19,126.31,43.35,51,45.93
BTN,Bhutan,753,country,136.48,106.73,122.26,41.4,56.42,48
BOL,Bolivia,11338,country,119.55,94.26,107.72,53.97,67.51,60.04
BIH,Bosnia & Herzegovina,3338,country,157.9,121.54,139.75,17.62,39.5,27.07
BWA,Botswana,2258,country,209.31,160.45,184.64,5,16.74,9.3
BRA,Brazil,203931,country,224.59,172.4,198.34,6.56,19.16,11.35
BRN,Brunei,434,country,172.67,124.22,143.13,11.11,35.42,22.86
BGR,Bulgaria,6938,country,109.82,82.07,94.76,49,76.01,63.07
BFA,Burkina Faso,20003,country,226.21,204.81,219.04,0.14,0.39,0.2
BDI,Burundi,11642,country,118.74,113.23,117.09,36.7,42,38.24
KHM,Cambodia,16004,country,175.46,146.24,163.6,9.64,20.29,13.1
CMR,Cameroon,24278,country,185.66,159.41,175.74,4.93,11.55,6.82
CAN,Canada,37171,country,181.4,131.47,151.66,12.82,33.83,23
CPV,Cape Verde,504,country,170.89,138.2,156.59,6.29,19.12,10.33
CAF,Central African Republic,4728,country,188.04,178.59,185.18,3.38,4.76,3.75
TCD,Chad,15756,country,127.24,114.6,122.96,45.58,51.9,47.63
CHL,Chile,18840,country,170.5,127.08,146.74,9.7,37.05,22.04
CHN,China,1406343,country,170.47,130.4,150.12,21.44,38.35,28.77
COL,Colombia,48792,country,108.24,83.17,95.66,56.06,81.23,70.1
COM,Comoros,756,country,140.65,122.88,134.2,22.3,35.03,26.42
COG,Congo - Brazzaville,5376,country,182.68,152.31,170.36,5.62,15.3,8.46
COD,Congo - Kinshasa,87795,country,75.13,70.87,73.82,85.33,89.53,86.68
CRI,Costa Rica,4913,country,149.79,112.63,129.97,25.02,53.39,38.43
HRV,Croatia,3968,country,167,123.48,142.61,15.88,39.19,27.02
CUB,Cuba,11104,country,190.3,148.51,170.21,13.11,29.04,19.31
CYP,Cyprus,1265,country,139.8,102.08,117.84,21.46,54.03,37.64
CZE,Czechia,10439,country,100.08,72.99,84.25,56.78,84.23,73.31
CIV,Côte d’Ivoire,26907,country,176.71,148.96,165.75,6.66,16.04,9.48
DNK,Denmark,5745,country,188.82,136.3,157.14,4.16,24.52,13.03
DJI,Djibouti,1057,country,206.53,173.66,193.47,2.06,6.44,3.22
DMA,Dominica,67,country,117.83,90.61,104.21,47.8,74.35,61.5
DOM,Dominican Republic,10631,country,167.13,127.02,146.38,20.06,44.78,31.18
ECU,Ecuador,16910,country,52.78,41.22,47.23,92.92,96.92,94.74
EGY,Egypt,104191,country,163.31,127.42,146.05,9.64,29.04,16.73
SLV,El Salvador,6120,country,170.01,135.75,154.52,18.21,36.3,25.12
GNQ,Equatorial Guinea,1593,country,148.19,112.46,129.64,18.63,44.43,29.95
ERI,Eritrea,3128,country,158.14,146.28,154.35,9.94,14.82,11.32
EST,Estonia,1310,country,147.52,108.05,124.76,24.7,50.82,38.09
