iso3,name,pop_thousands,group,pct_inadequate_QA_high,pct_inadequate_QA_low,pct_inadequate_QA_medium
,World,7575436,world,3.37,7.77,4.75
,East Asia & Pacific,2307038,region,2.15,5.73,3.44
,Europe & Central Asia,912942,region,0.42,1.88,0.87
,Latin America & Caribbean,624656,region,4.32,8.2,5.76
,Middle East & North Africa,460509,region,2.38,5.11,3.4
,North America,369802,region,0.2,1.9,0.75
,South Asia,1828298,region,3.02,11.33,5.28
,Sub-Saharan Africa,1072189,region,10.04,14.03,11.35
AFG,Afghanistan,35957,country,0.32,1,0.47
ALB,Albania,2861,country,0.41,2.76,1.05
DZA,Algeria,41899,country,0.04,0.4,0.12
AGO,Angola,30630,country,3.42,16.42,7.04
ATG,Antigua & Barbuda,90,country,0.09,1.29,0.37
ARG,Argentina,44152,country,0.04,0.61,0.16
ARM,Armenia,2871,country,0,0.05,0.01
AUS,Australia,25005,country,0.15,1.8,0.63
AUT,Austria,8776,country,0.02,0.83,0.18
AZE,Azerbaijan,9939,country,0,0.03,0.01
BHS,Bahamas,389,country,10.06,23.66,16.27
BHR,Bahrain,1472,country,0.18,1.34,0.58
BGD,Bangladesh,160973,country,1.51,6.75,2.79
BRB,Barbados,278,country,0.79,9.55,3.05
BLR,Belarus,9376,country,5.03,11.97,7.83
BEL,Belgium,11339,country,0,0.01,0
BLZ,Belize,375,country,0.57,3.36,1.28
BEN,Benin,12119,country,17.05,21.6,18.51
BTN,Bhutan,753,country,18.3,28.81,22.59
BOL,Bolivia,11338,country,21.63,32.65,26.1
BIH,Bosnia & Herzegovina,3338,country,0.06,0.68,0.19
BWA,Botswana,2258,country,0.03,0.37,0.1
BRA,Brazil,203931,country,0.03,0.35,0.1
BRN,Brunei,434,country,0.14,1.6,0.59
BGR,Bulgaria,6938,country,0.83,9.53,3.26
BFA,Burkina Faso,20003,country,0,0,0
BDI,Burundi,11642,country,2.49,3.45,2.75
KHM,Cambodia,16004,country,0.07,0.35,0.13
CMR,Cameroon,24278,country,0.07,0.27,0.11
CAN,Canada,37171,country,0.33,2.06,0.94
CPV,Cape Verde,504,country,0.02,0.21,0.06
CAF,Central African Republic,4728,country,0.01,0.01,0.01
TCD,Chad,15756,country,18.13,21.97,19.33
CHL,Chile,18840,country,0,0.11,0.02
CHN,China,1406343,country,2.53,6.5,4.01
COL,Colombia,48792,country,1.68,12.49,4.74
COM,Comoros,756,country,0.48,1.4,0.7
COG,Congo - Brazzaville,5376,country,0.23,0.49,0.3
COD,Congo - Kinshasa,87795,country,19.42,25.82,21.24
CRI,Costa Rica,4913,country,0.28,2.9,0.97
HRV,Croatia,3968,country,0.1,1.09,0.36
CUB,Cuba,11104,country,0.34,1.46,0.67
CYP,Cyprus,1265,country,0.06,1.58,0.41
CZE,Czechia,10439,country,3.08,20.72,9.94
CIV,Côte d’Ivoire,26907,country,0.05,0.23,0.08
DNK,Denmark,5745,country,0,0.03,0
DJI,Djibouti,1057,country,0.11,0.23,0.14
DMA,Dominica,67,country,0.66,7.3,2.28
DOM,Dominican Republic,10631,country,0.3,2.44,0.87
ECU,Ecuador,16910,country,70.39,87.44,80.04
EGY,Egypt,104191,country,0.02,0.35,0.08
SLV,El Salvador,6120,country,0.36,1.77,0.72
GNQ,Equatorial Guinea,1593,country,0.52,3.9,1.47
ERI,Eritrea,3128,country,0.08,0.17,0.1
EST,Estonia,1310,country,0.29,2.99,1.1
SWZ,Eswatini,1145,country,19.46,47.73,30.06
ETH,Ethiopia,110537,country,0.21,0.53,0.28
FJI,Fiji,899,country,19.82,31.07,24.51
FIN,Finland,5471,country,0.5,2.94,1.39
FRA,France,64964,country,0,0,0
GAB,Gabon,2174,country,18.02,29.05,22.73
GMB,Gambia,2353,country,23.8,38.29,28.21
GEO,Georgia,3743,country,0.12,0.97,0.34
DEU,Germany,82695,country,0,0.01,0
GHA,Ghana,30106,country,0,0.02,0.01
GRC,Greece,10634,country,0,0.01,0
GRD,Grenada,114,country,25.53,39.52,31.72
GTM,Guatemala,16578,country,18.37,28.03,22.19
GIN,Guinea,12430,country,14.06,17.89,15.28
GNB,Guinea-Bissau,1885,country,36.49,52.21,41.45
GUY,Guyana,795,country,0.14,0.91,0.33
HTI,Haiti,10780,country,11.71,17.17,13.42
HND,Honduras,9629,country,17.06,24.06,19.54
HUN,Hungary,9679,country,17.57,30.94,23.99
ISL,Iceland,353,country,0,0.01,0
IND,India,1358101,country,2.76,11.49,5.12
IDN,Indonesia,266686,country,0.02,0.2,0.06
IRN,Iran,85202,country,7.03,15.98,10.5
IRQ,Iraq,39650,country,0.29,1.13,0.51
IRL,Ireland,4843,country,0.03,0.74,0.22
ISR,Israel,8408,country,1.98,6.04,3.69
ITA,Italy,59785,country,0,0.06,0.01
JAM,Jamaica,2788,country,0.02,0.2,0.05
JPN,Japan,125913,country,0.21,2.89,0.95
JOR,Jordan,10346,country,0.19,0.8,0.34
KAZ,Kazakhstan,18657,country,0,0.02,0
KEN,Kenya,49286,country,25.51,33.32,28.22
