Country / Region,Population (thousands),"Mean protein intake (% EAR, Low)","Mean protein intake (% EAR, Central)","Mean protein intake (% EAR, High)","Protein inadequacy (% , Low)","Protein inadequacy (% , Central)","Protein inadequacy (% , High)"
World,7575436,215.67,244.97,274.47,6.19,3.93,2.84
East Asia & Pacific,2307038,239.38,274.74,310.9,5.97,3.61,2.27
Europe & Central Asia,912942,234,269.5,315.9,2.24,1.06,0.5
Latin America & Caribbean,624656,239.67,275.43,312.41,8.36,5.84,4.36
Middle East & North Africa,460509,236.37,269.18,301.81,4.31,2.84,1.99
North America,369802,221.82,255.65,307.84,2.23,0.91,0.25
South Asia,1828298,165.15,185.42,199.94,5.11,2.2,1.22
Sub-Saharan Africa,1072189,210.23,229.73,242.51,12.77,10.38,9.21
Afghanistan,35957,227.06,244.59,253.78,0.27,0.12,0.08
Albania,2861,206.53,237.53,268.56,3.37,1.39,0.59
Algeria,41899,247.98,284.79,320.36,0.42,0.13,0.04
Angola,30630,144.03,163.43,178.78,8.33,3.03,1.31
Antigua & Barbuda,90,212,244.78,283.99,1.46,0.43,0.11
Argentina,44152,239.02,275.97,320.1,0.81,0.23,0.06
Armenia,2871,317.26,363.95,407.96,0.09,0.02,0.01
Australia,25005,207.09,238.88,285.8,2.21,0.82,0.21
Austria,8776,190.58,219.73,263.93,1.32,0.31,0.04
Azerbaijan,9939,330.25,379.89,429.88,0.04,0.01,0
Bahamas,389,161.52,186.52,220.06,24.24,16.75,10.43
Bahrain,1472,255.31,294.47,352.69,1.39,0.6,0.19
Bangladesh,160973,173.99,194.46,208.34,2.45,0.9,0.46
Barbados,278,156.55,180.56,207.18,10.62,3.55,0.95
Belarus,9376,206.09,237.72,272.96,12.68,8.39,5.45
Belgium,11339,274.89,317.04,379.85,0.03,0,0
Belize,375,201.15,229.16,252.57,3.5,1.35,0.61
Benin,12119,199.36,216.72,226.33,21.15,18.11,16.68
Bhutan,753,189.68,217.29,242.57,22.72,17.5,14
Bolivia,11338,162.63,185.87,206.26,32.97,26.39,21.89
Bosnia & Herzegovina,3338,225.72,259.55,293.25,1,0.3,0.09
Botswana,2258,280.29,322.56,365.66,0.37,0.11,0.03
Brazil,203931,306.32,352.42,399.05,0.41,0.12,0.04
Brunei,434,221.47,255.18,307.86,1.71,0.65,0.16
Bulgaria,6938,152.04,175.53,203.43,11.87,4.62,1.35
Burkina Faso,20003,349.96,374.27,386.53,0,0,0
Burundi,11642,192.44,198.99,201.8,2.41,1.9,1.72
Cambodia,16004,256.9,287.41,308.25,0.4,0.16,0.09
Cameroon,24278,272.9,300.85,317.84,0.12,0.05,0.03
Canada,37171,242.92,280.22,335.16,2.4,1.13,0.41
Cape Verde,504,244.93,277.51,302.86,0.14,0.04,0.01
Central African Republic,4728,303.01,314.2,319.05,0.01,0.01,0.01
Chad,15756,194.3,208.46,215.73,22.3,19.63,18.42
Chile,18840,227.86,263.11,305.73,0.14,0.03,0
China,1406343,237.65,273.59,310.69,6.81,4.23,2.69
Colombia,48792,147.47,169.63,191.92,13.24,5.21,1.91
Comoros,756,212.85,232.46,243.64,1.44,0.73,0.5
Congo - Brazzaville,5376,261.61,292.62,313.77,0.58,0.36,0.27
Congo - Kinshasa,87795,120.96,126,128.23,26.61,21.88,19.99
Costa Rica,4913,200.06,230.87,266.07,3.23,1.12,0.34
Croatia,3968,229.21,264.72,310,1.58,0.57,0.17
Cuba,11104,270.62,310.17,346.79,1.62,0.75,0.39
Cyprus,1265,186.73,215.56,255.73,2.06,0.58,0.1
Czechia,10439,134.05,154.74,183.82,22.79,12,4.34
Côte d’Ivoire,26907,255.1,283.86,302.63,0.23,0.09,0.05
