Country / Region,Population (thousands),"Mean protein intake (% OPT, Low)","Mean protein intake (% OPT, Central)","Mean protein intake (% OPT, High)","Below optimal intake (% , Low)","Below optimal intake (% , Central)","Below optimal intake (% , High)"
World,7575436,120.86,137.22,153.61,44.74,34.34,26.48
East Asia & Pacific,2307038,132.17,151.68,171.59,37.28,27.89,20.38
Europe & Central Asia,912942,127.78,147.16,172.42,36.3,24.85,14.73
Latin America & Caribbean,624656,135.95,156.23,177.19,40.6,30.99,23.41
Middle East & North Africa,460509,134.26,152.88,171.37,31.24,21.54,15.3
North America,369802,120.99,139.45,167.92,40.29,27.5,14.47
South Asia,1828298,93.76,105.26,113.49,65.57,51.83,42.47
Sub-Saharan Africa,1072189,122.25,133.58,140.98,42.2,36.25,33.08
Afghanistan,35957,133.99,144.33,149.75,25.87,18.95,16.01
Albania,2861,113.26,130.25,147.27,46.45,34.17,24.48
Algeria,41899,140.51,161.37,181.52,22.32,12.55,7.01
Angola,30630,84.46,95.83,104.83,74.94,61.1,50.02
Antigua & Barbuda,90,118.39,136.7,158.6,46.48,30.85,17.56
Argentina,44152,135.77,156.76,181.83,34.36,21.73,12.01
Armenia,2871,175.52,201.35,225.7,12.54,6.85,3.74
Australia,25005,113.2,130.58,156.22,45.41,31.16,16.79
Austria,8776,102.43,118.1,141.86,54.3,38.59,20.7
Azerbaijan,9939,185.4,213.26,241.33,8.75,4.32,2.07
Bahamas,389,90.32,104.3,123.06,69.8,59.61,47.17
Bahrain,1472,142.5,164.35,196.85,23.29,14.08,6.67
Bangladesh,160973,98.77,110.4,118.27,59.68,45.15,36.32
Barbados,278,86.66,99.95,114.69,77.92,66.64,52.41
Belarus,9376,112.92,130.24,149.55,51.21,41.2,32.21
Belgium,11339,148.84,171.66,205.67,18.54,9.15,2.66
Belize,375,116.61,132.84,146.41,51.85,37.97,28.27
Benin,12119,116.19,126.31,131.91,51,45.93,43.35
Bhutan,753,106.73,122.26,136.48,56.42,48,41.4
Bolivia,11338,94.26,107.72,119.55,67.51,60.04,53.97
Bosnia & Herzegovina,3338,121.54,139.75,157.9,39.5,27.07,17.62
Botswana,2258,160.45,184.64,209.31,16.74,9.3,5
Brazil,203931,172.4,198.34,224.59,19.16,11.35,6.56
Brunei,434,124.22,143.13,172.67,35.42,22.86,11.11
Bulgaria,6938,82.07,94.76,109.82,76.01,63.07,49
Burkina Faso,20003,204.81,219.04,226.21,0.39,0.2,0.14
Burundi,11642,113.23,117.09,118.74,42,38.24,36.7
Cambodia,16004,146.24,163.6,175.46,20.29,13.1,9.64
Cameroon,24278,159.41,175.74,185.66,11.55,6.82,4.93
Canada,37171,131.47,151.66,181.4,33.83,23,12.82
Cape Verde,504,138.2,156.59,170.89,19.12,10.33,6.29
Central African Republic,4728,178.59,185.18,188.04,4.76,3.75,3.38
Chad,15756,114.6,122.96,127.24,51.9,47.63,45.58
Chile,18840,127.08,146.74,170.5,37.05,22.04,9.7
China,1406343,130.4,150.12,170.47,38.35,28.77,21.44
Colombia,48792,83.17,95.66,108.24,81.23,70.1,56.06
Comoros,756,122.88,134.2,140.65,35.03,26.42,22.3
Congo - Brazzaville,5376,152.31,170.36,182.68,15.3,8.46,5.62
Congo - Kinshasa,87795,70.87,73.82,75.13,89.53,86.68,85.33
Costa Rica,4913,112.63,129.97,149.79,53.39,38.43,25.02
Croatia,3968,123.48,142.61,167,39.19,27.02,15.88
Cuba,11104,148.51,170.21,190.3,29.04,19.31,13.11
Cyprus,1265,102.08,117.84,139.8,54.03,37.64,21.46
Czechia,10439,72.99,84.25,100.08,84.23,73.31,56.78
Côte d’Ivoire,26907,148.96,165.75,176.71,16.04,9.48,6.66
Denmark,5745,136.3,157.14,188.82,24.52,13.03,4.16
Djibouti,1057,173.66,193.47,206.53,6.44,3.22,2.06
Dominica,67,90.61,104.21,117.83,74.35,61.5,47.8
Dominican Republic,10631,127.02,146.38,167.13,44.78,31.18,20.06
Ecuador,16910,41.22,47.23,52.78,96.92,94.74,92.92
Egypt,104191,127.42,146.05,163.31,29.04,16.73,9.64
El Salvador,6120,135.75,154.52,170.01,36.3,25.12,18.21
Equatorial Guinea,1593,112.46,129.64,148.19,44.43,29.95,18.63
Eritrea,3128,146.28,154.35,158.14,14.82,11.32,9.94
Estonia,1310,108.05,124.76,147.52,50.82,38.09,24.7
Eswatini,1145,68.53,77.83,85.28,90.33,82.01,74.12
Ethiopia,110537,159.96,171.15,176.81,13.1,9.45,7.98
Fiji,899,94.94,108.93,122.15,64.69,56.59,49.73
Finland,5471,122.66,141.5,169.15,40.06,28.45,16.81
France,64964,151.16,174.42,208.05,25.32,16.54,6.78
Gabon,2174,95.52,109.89,124.41,63.4,54.87,47.28
Gambia,2353,63.65,68.36,70.78,95.09,91.68,89.59
Georgia,3743,151.98,174.78,197.6,28.01,19.08,12.72
Germany,82695,136.02,156.83,188.34,24.7,11.64,2.59
Ghana,30106,157.05,175.59,188.19,9.28,4.46,2.66
Greece,10634,136.3,157.42,184.35,24.51,11.92,3.46
Grenada,114,80.11,92.2,104.59,75.72,68.53,61.41
Guatemala,16578,103.98,118.6,131.05,62.03,54.33,48.42
Guinea,12430,134.07,145.47,151.7,42.46,37.8,35.51
Guinea-Bissau,1885,66.5,71.1,73.42,93.23,89.58,87.5
Guyana,795,154.91,177.59,198.69,26.19,16.65,10.74
Haiti,10780,116.05,126.6,132.57,53.43,47.01,43.63
Honduras,9629,114.33,127.92,137.21,56.81,50.21,46.12
Hungary,9679,85.78,99.07,116.43,69.98,61.8,52.19
Iceland,353,148.13,170.77,205.19,16.27,7.04,1.43
India,1358101,92.09,103.74,112.25,67.37,52.86,42.81
Indonesia,266686,150.45,172.16,191.64,17.81,9.84,5.74
Iran,85202,109.14,125.55,142.09,50.6,39.35,30.35
Iraq,39650,127.4,145.96,162.99,32.49,19.19,11.4
Ireland,4843,122.3,140.73,171.08,36.61,23.85,10.9
Israel,8408,135.38,156.28,185.39,34.8,25.53,16.75
Italy,59785,138.39,159.72,190.05,26.73,15.75,6.44
Jamaica,2788,152.57,174.37,193.5,22.33,12.5,7.29
Japan,125913,96.33,111.19,132.15,62.07,47.64,30.28
Jordan,10346,132.32,150.53,165.46,26.58,15.87,10.26
Kazakhstan,18657,168.52,194.58,226.01,14.66,7.77,3.18
Kenya,49286,98.52,109.08,115.7,61,54.74,51.1
Kiribati,120,139.26,150.65,156.78,28.23,21.94,19.09
Kuwait,4365,87.68,101.14,121.08,67.98,59.14,47.78
Kyrgyzstan,6241,145.57,161.74,172.17,26.03,18.95,15.4
Laos,7020,241.07,272.62,296.65,1.41,0.63,0.35
Latvia,1901,115.47,133.36,156.18,46.37,34.66,23.07
Lebanon,5797,199.42,230.15,265.54,7.62,3.63,1.48
Lesotho,2140,103.19,111.56,116.04,54.08,45.01,40.31
Liberia,4838,122.7,130.43,134.2,33.1,26.77,24.03
Libya,6768,89.64,103.34,118.29,66.83,58.21,49.86
Lithuania,2767,138.7,160.16,189.24,30.24,19.41,9.91
Luxembourg,608,139.08,159.83,195.57,20.98,10.48,2.21
Madagascar,26962,53.05,56.04,57.46,99.56,99.09,98.76
Malawi,18176,173.87,182.79,186.91,4.96,3.45,2.91
Malaysia,32675,110.48,127.59,148.93,47.79,33.31,20.39
Maldives,474,153.43,177.08,204.27,15.64,8.17,3.86
Mali,19932,165.11,178.66,185.96,9.99,6.51,5.15
Malta,489,133.2,153.68,183.57,32.38,21.88,12.18
Marshall Islands,44,148.32,165.44,176.84,22.11,14.82,11.28
Mauritania,4248,137.14,153.21,164.05,22.43,12.91,8.58
Mauritius,1275,116.64,134.65,155.86,35.12,19.71,9.35
Mexico,123071,130.31,150.35,173.03,44.02,33.8,24.98
Micronesia (Federated States of),108,117,128.22,134.77,43.24,33.36,28.42
Moldova,3094,61.53,70.47,78.63,91.84,85.94,78.95
Mongolia,3126,168.3,192.91,215.7,13.85,7.88,4.65
Montenegro,606,209.29,241.49,278.03,4.28,1.64,0.55
Morocco,35374,145.36,164.62,179.52,29.49,22.09,17.74
Mozambique,28350,106.4,111.74,114.2,56.33,53.34,52.02
Myanmar (Burma),51544,163.56,182.93,196.13,31.6,26.23,23.2
Namibia,2536,108.39,123.6,136.5,48.01,34.13,24.81
Nepal,27554,122.94,135.44,143.01,31.11,21.11,16.55
Netherlands,17302,140.8,162.31,195.2,21.42,11.19,3.8
New Zealand,4883,152.09,175.54,208.71,15.63,7.63,2.63
Nicaragua,6308,122.81,137.7,148.08,47.06,36.18,29.61
Niger,21638,193.07,202.47,206.77,4.05,2.99,2.6
Nigeria,200330,102.92,116.22,126.16,58.66,51.22,46.25
North Macedonia,1888,145.3,167.49,191.49,22.93,12.75,6.03
Norway,5273,150.46,173.3,209.53,23.7,14.75,6.7
Oman,4528,130.59,150.78,178.42,20.61,9.85,3.48
Pakistan,222488,88.82,98.87,105.44,70.46,59.88,52.47
Palestinian Territories,4759,468.28,526,566.94,0,0,0
Panama,4126,135.6,156.61,184.11,37.68,25.11,14.03
Papua New Guinea,9256,113.59,125.08,132,45.41,35.51,30.3
Paraguay,6333,152.43,175.15,197.34,29.82,20.12,13.58
Peru,31699,140.71,161.46,181.14,34.25,23.64,16.45
Philippines,107874,160.28,181.92,199.11,32.71,26.57,22.67
Poland,37855,127.79,147.59,173.48,37.36,26.88,17.4
Portugal,10237,141.01,162.84,192.04,23.9,13.86,6.36
Qatar,2752,126.96,145.94,178.37,21.55,10.26,2.82
Romania,19349,132.97,153.57,179.72,34.39,23.44,13.73
Russia,144900,121.59,140.43,164.14,38.82,26.57,15.35
Rwanda,12256,141.33,151.31,156.38,38.39,34.6,32.85
Samoa,203,155.97,175.3,189.1,25.07,17.87,14
Saudi Arabia,29560,171.42,197.6,237.71,2.98,0.76,0.11
Senegal,15639,120.61,131.91,138.42,48.75,43.4,40.61
Serbia,6928,158.86,183.12,209.36,22.56,13.99,8.09
Seychelles,115,92,106.26,124.85,66.52,49.25,30.45
Sierra Leone,7405,160.11,173.12,180.09,8.29,5.09,3.9
