Country / Region,Population (thousands),"Protein inadequacy (% , Low, QA)","Protein inadequacy (% , Central, QA)","Protein inadequacy (% , High, QA)"
World,7575436,8.13,5,3.54
East Asia & Pacific,2307038,6.06,3.66,2.3
Europe & Central Asia,912942,2.24,1.06,0.5
Latin America & Caribbean,624656,8.41,5.88,4.4
Middle East & North Africa,460509,5.25,3.5,2.46
North America,369802,2.23,0.91,0.25
South Asia,1828298,11.87,5.72,3.35
Sub-Saharan Africa,1072189,14.29,11.56,10.23
Afghanistan,35957,1.1,0.53,0.36
Albania,2861,3.37,1.39,0.59
Algeria,41899,0.42,0.13,0.04
Angola,30630,16.82,7.22,3.51
Antigua & Barbuda,90,1.46,0.43,0.11
Argentina,44152,0.81,0.23,0.06
Armenia,2871,0.09,0.02,0.01
Australia,25005,2.21,0.82,0.21
Austria,8776,1.32,0.31,0.04
Azerbaijan,9939,0.04,0.01,0
Bahamas,389,24.24,16.75,10.43
Bahrain,1472,1.39,0.6,0.19
Bangladesh,160973,7.22,3.1,1.73
Barbados,278,10.62,3.55,0.95
Belarus,9376,12.68,8.39,5.45
Belgium,11339,0.03,0,0
Belize,375,3.5,1.35,0.61
Benin,12119,21.91,18.78,17.3
Bhutan,753,29.15,22.88,18.55
Bolivia,11338,32.97,26.39,21.89
Bosnia & Herzegovina,3338,1,0.3,0.09
Botswana,2258,0.39,0.11,0.03
Brazil,203931,0.41,0.12,0.04
Brunei,434,1.71,0.65,0.16
Bulgaria,6938,11.87,4.62,1.35
Burkina Faso,20003,0,0,0
Burundi,11642,3.57,2.84,2.58
Cambodia,16004,0.4,0.16,0.09
Cameroon,24278,0.28,0.11,0.07
Canada,37171,2.4,1.13,0.41
Cape Verde,504,0.23,0.06,0.02
Central African Republic,4728,0.01,0.01,0.01
Chad,15756,22.3,19.63,18.42
Chile,18840,0.14,0.03,0
China,1406343,6.81,4.23,2.69
Colombia,48792,13.24,5.21,1.91
Comoros,756,1.44,0.73,0.5
Congo - Brazzaville,5376,0.58,0.36,0.27
Congo - Kinshasa,87795,26.61,21.88,19.99
Costa Rica,4913,3.23,1.12,0.34
Croatia,3968,1.58,0.57,0.17
Cuba,11104,1.62,0.75,0.39
Cyprus,1265,2.06,0.58,0.1
Czechia,10439,22.79,12,4.34
Côte d’Ivoire,26907,0.23,0.09,0.05
Denmark,5745,0.06,0.01,0
Djibouti,1057,0.28,0.17,0.13
Dominica,67,8.25,2.72,0.83
Dominican Republic,10631,2.59,0.94,0.33
Ecuador,16910,87.61,80.13,70.57
Egypt,104191,0.38,0.09,0.02
El Salvador,6120,1.91,0.79,0.39
Equatorial Guinea,1593,4,1.51,0.53
Eritrea,3128,0.18,0.11,0.08
Estonia,1310,3.98,1.58,0.46
Eswatini,1145,48.48,30.54,19.81
Ethiopia,110537,0.55,0.3,0.22
Fiji,899,31.39,24.79,20.06
Finland,5471,3.48,1.7,0.64
France,64964,0.03,0,0
Gabon,2174,29.41,23.03,18.27
Gambia,2353,39.17,28.83,24.31
Georgia,3743,1.21,0.45,0.17
Germany,82695,0.03,0,0
Ghana,30106,0.02,0.01,0
Greece,10634,0.02,0,0
Grenada,114,40.13,32.29,26.04
Guatemala,16578,28.29,22.41,18.57
Guinea,12430,18.17,15.52,14.29
Guinea-Bissau,1885,53.42,42.39,37.31
Guyana,795,0.97,0.36,0.15
Haiti,10780,17.37,13.59,11.86
Honduras,9629,24.24,19.7,17.2
Hungary,9679,31.9,24.87,18.31
Iceland,353,0.01,0,0
India,1358101,12.09,5.6,3.12
Indonesia,266686,0.24,0.08,0.03
Iran,85202,16.33,10.76,7.23
Iraq,39650,1.27,0.6,0.35
Ireland,4843,1.01,0.32,0.06
Israel,8408,6.39,3.93,2.13
Italy,59785,0.15,0.03,0
Jamaica,2788,0.22,0.06,0.02
Japan,125913,4.1,1.48,0.36
Jordan,10346,0.9,0.4,0.23
Kazakhstan,18657,0.04,0.01,0
Kenya,49286,33.68,28.54,25.81
Kiribati,120,0.98,0.53,0.38
Kuwait,4365,31,24.12,17.09
Kyrgyzstan,6241,1.17,0.58,0.37
Laos,7020,0.06,0.04,0.03
Latvia,1901,3.88,1.65,0.57
Lebanon,5797,0.09,0.02,0.01
Lesotho,2140,3.16,1.48,0.98
Liberia,4838,0.86,0.51,0.39
Libya,6768,31.47,24.63,19.17
Lithuania,2767,0.9,0.36,0.12
Luxembourg,608,0.02,0,0
Madagascar,26962,75.85,67.08,62.78
Malawi,18176,0.03,0.02,0.01
Malaysia,32675,4.73,1.86,0.6
Maldives,474,0.46,0.18,0.08
Mali,19932,0.1,0.05,0.03
Malta,489,2.25,1.06,0.39
Marshall Islands,44,0.85,0.36,0.21
Mauritania,4248,0.09,0.02,0.01
Mauritius,1275,0.44,0.1,0.02
Mexico,123071,9.41,5.92,3.63
Micronesia (Federated States of),108,1.23,0.5,0.3
Moldova,3094,41.34,26.71,17.2
Mongolia,3126,0.31,0.13,0.07
Montenegro,606,0.01,0,0
Morocco,35374,5.95,3.89,2.86
Mozambique,28350,27.07,24.91,23.99
Myanmar (Burma),51544,9.35,7.23,6.13
Namibia,2536,4.04,1.66,0.79
Nepal,27554,1.07,0.4,0.22
Netherlands,17302,0.13,0.03,0
New Zealand,4883,0.08,0.02,0
Nicaragua,6308,3.64,1.67,0.97
Niger,21638,0.09,0.06,0.05
Nigeria,200330,27.93,22.59,19.43
North Macedonia,1888,0.07,0.01,0
Norway,5273,0.64,0.22,0.04
Oman,4528,0.2,0.04,0.01
Pakistan,222488,15.47,8.28,5.41
Palestinian Territories,4759,0,0,0
Panama,4126,1.98,0.74,0.22
Papua New Guinea,9256,3,1.52,1.01
Paraguay,6333,2.32,1.1,0.55
Peru,31699,2.84,1.37,0.71
Philippines,107874,10.18,7.64,6.18
Poland,37855,2.59,0.97,0.27
Portugal,10237,0.4,0.13,0.04
Qatar,2752,0.21,0.05,0.01
Romania,19349,1.49,0.56,0.17
Russia,144900,0.89,0.22,0.04
Rwanda,12256,17.83,15.53,14.5
Samoa,203,2.21,1.19,0.78
Saudi Arabia,29560,0,0,0
Senegal,15639,20.79,17.58,16.02
Serbia,6928,0.5,0.16,0.05
Seychelles,115,5.42,1.93,0.51
Sierra Leone,7405,0.03,0.01,0.01
Singapore,5611,0.92,0.34,0.07
Slovakia,5388,13.4,5.72,1.67
Slovenia,2057,4.89,2.06,0.65
Solomon Islands,700,1.34,0.88,0.71
South Africa,57950,0.01,0,0
South Korea,51388,9.31,5.88,3.21
South Sudan,10007,1.35,0.88,0.72
Spain,46862,0.6,0.17,0.03
Sri Lanka,21998,26.89,20.83,16.47
St. Lucia,175,46.54,27.77,14.46
St. Vincent & Grenadines,103,0.4,0.08,0.02
Sudan,43422,0.21,0.07,0.04
Suriname,592,3.03,0.91,0.24
Sweden,10114,1.15,0.29,0.04
Switzerland,8460,2.9,0.81,0.1
Syria,19584,11.68,8.84,7.56
São Tomé & Príncipe,206,27.42,23.14,20.96
Taiwan,23498,0.58,0.15,0.02
Tajikistan,9151,0.38,0.19,0.13
Tanzania,56218,5.06,2.53,1.72
Thailand,70794,20.74,9.37,3.65
Timor-Leste,1255,0,0,0
Togo,8095,0.33,0.18,0.13
Tonga,103,16.18,11.59,9.2
Trinidad & Tobago,1474,71.58,54.43,33.72
Tunisia,11620,0.23,0.07,0.02
Turkey,83603,0.73,0.21,0.05
Turkmenistan,6563,1.66,0.62,0.24
Uganda,40741,3.82,2.38,1.87
Ukraine,44714,7.75,2.77,1
United Arab Emirates,9297,3.1,1.23,0.3
United Kingdom,66201,3.13,1.11,0.26
United States,332631,2.21,0.88,0.24
Uruguay,3357,0.46,0.17,0.06
Uzbekistan,31893,0.89,0.44,0.26
Vanuatu,280,0.01,0.01,0
Venezuela,28801,8.23,3.63,1.69
Vietnam,95272,0.03,0.01,0
Yemen,33392,0.94,0.69,0.6
Zambia,17625,0.73,0.32,0.2
Zimbabwe,14694,4.3,1.75,1
