Country / Region,Total dietary protein (g/day),Protein from animal-source foods
World,66.4,41.6%
East Asia & Pacific,82.7,48%
Europe & Central Asia,78,66.4%
Latin America & Caribbean,68.4,57%
Middle East & North Africa,71.1,39.5%
North America,48.7,63.9%
South Asia,51,16.7%
Sub-Saharan Africa,50.4,33.3%
Afghanistan,47,15.3%
Albania,93.4,58.1%
Algeria,81.2,40.6%
Angola,58,25%
Antigua & Barbuda,58,55.2%
Argentina,66.7,69.4%
Armenia,89.8,65%
Australia,65.4,67.3%
Austria,68.6,84.2%
Azerbaijan,102.2,59.4%
Bahamas,63.2,55.6%
Bahrain,89.7,40.7%
Bangladesh,74.3,17.4%
Barbados,75.3,55%
Belarus,82.1,57.1%
Belgium,58.9,72%
Belize,82.5,62.4%
Benin,41.3,37.4%
Bhutan,92.3,17.2%
Bolivia,69.6,56.2%
Bosnia & Herzegovina,105.7,66.4%
Botswana,48.5,39.3%
Brazil,69.4,59.4%
Brunei,108.2,50.9%
Bulgaria,91.2,77%
Burkina Faso,32.1,28.1%
Burundi,36.4,32.2%
Cambodia,53.1,46.1%
Cameroon,54.6,27%
Canada,58.7,61%
Cape Verde,51.8,33.1%
Central African Republic,58,55.1%
Chad,38,41.1%
Chile,67.9,48%
China,88.2,49.8%
Colombia,94.2,57.2%
Comoros,48.2,46.1%
Congo - Brazzaville,56.4,48.5%
Congo - Kinshasa,43.9,40.6%
Costa Rica,86.2,62.4%
Croatia,146.7,77.4%
Cuba,88.2,67.2%
Cyprus,62.6,63.3%
Czechia,54.6,80.7%
Côte d’Ivoire,40,42.3%
Denmark,56.2,78%
Djibouti,79,27.8%
Dominica,47.9,44.4%
Dominican Republic,65,45.4%
Ecuador,49.2,50.7%
Egypt,45.1,40.3%
El Salvador,65.3,48.4%
Equatorial Guinea,62.2,33.5%
Eritrea,60.3,34.4%
Estonia,114.1,73.5%
Eswatini,52.7,16.9%
Ethiopia,55.2,19.1%
Fiji,64.3,35.3%
Finland,73,76.4%
France,62.4,68.1%
Gabon,46.5,42.9%
Gambia,38.1,42.5%
Georgia,93.5,51.5%
Germany,72.7,56.7%
Ghana,55,44.2%
Greece,54.3,79.9%
Grenada,53.6,39%
Guatemala,66.8,46.9%
Guinea,36.2,31.1%
Guinea-Bissau,61.6,20.9%
Guyana,73.5,55.3%
Haiti,45,31.3%
Honduras,56.3,48.1%
Hungary,36,68%
Iceland,71.4,73%
India,46.9,15.3%
Indonesia,61.4,45.9%
Iran,66.7,24.1%
Iraq,89,54%
Ireland,63.4,75%
Israel,148.3,73%
Italy,75.9,51.3%
Jamaica,54.4,45.1%
Japan,93.6,49.8%
Jordan,80.9,53.4%
Kazakhstan,126.5,46%
Kenya,42.3,24%
Kiribati,80.3,39.6%
Kuwait,92.3,51.8%
Kyrgyzstan,55.8,38.6%
Laos,96.2,32.3%
Latvia,109.8,83.5%
Lebanon,85.2,28.7%
Lesotho,42,31.1%
Liberia,62.5,43.8%
Libya,82.7,39.9%
Lithuania,101.3,87.6%
Luxembourg,87.3,75.8%
Madagascar,53.7,33.5%
Malawi,52.7,25.9%
Malaysia,94.9,32.2%
Maldives,86.2,31.5%
Mali,46.8,44.5%
Malta,86.9,53%
Marshall Islands,84.1,31.6%
Mauritania,57.4,38.8%
Mauritius,62.8,52.1%
Mexico,54.7,57.9%
Micronesia (Federated States of),80,38.2%
Moldova,91,65%
Mongolia,107.8,68.5%
Montenegro,141.8,74%
Morocco,90.4,33.3%
Mozambique,47.6,34.6%
Myanmar (Burma),113.7,58.9%
Namibia,45.9,37.8%
Nepal,62.3,12.3%
Netherlands,56.1,68.8%
New Zealand,74,68.6%
Nicaragua,64.2,46.5%
Niger,76.8,7.4%
Nigeria,41.9,35.6%
North Macedonia,80.8,58.6%
Norway,67.2,86.5%
Oman,81.7,47.1%
Pakistan,54.1,25%
Palestinian Territories,86.8,40.1%
Panama,84.8,48.7%
Papua New Guinea,83.2,62.6%
Paraguay,74.2,72.3%
Peru,88.1,60.5%
Philippines,58.3,41.1%
Poland,79.7,63.4%
Portugal,70,66.6%
Qatar,87.6,40.3%
Romania,107.1,60.4%
Russia,105.5,81.7%
Rwanda,40.9,18.8%
Samoa,73.2,35.9%
Saudi Arabia,92.2,47.1%
Senegal,43.8,35.6%
Serbia,104.4,42.3%
Seychelles,77.7,57.2%
Sierra Leone,49.7,48.5%
Singapore,83.4,37%
Slovakia,42.4,68%
Slovenia,76.1,62.5%
Solomon Islands,69.4,40.4%
South Africa,80.8,61.7%
South Korea,66,35.9%
South Sudan,57.1,31.4%
Spain,72.4,74%
Sri Lanka,89.9,26.8%
St. Lucia,44.7,47.8%
St. Vincent & Grenadines,59.5,56.1%
Sudan,58.9,32.9%
Suriname,80.1,49.3%
Sweden,62.5,80.6%
Switzerland,55,70%
Syria,85.1,39%
São Tomé & Príncipe,62.2,39.5%
Taiwan,72.7,46.5%
Tajikistan,64.3,54%
Tanzania,63.5,24.1%
Thailand,71.9,37.9%
Timor-Leste,45,40.6%
Togo,44.3,42.1%
Tonga,84.3,32.8%
Trinidad & Tobago,55.9,64.9%
Tunisia,56.4,53.8%
Turkey,58.9,60.8%
Turkmenistan,83.5,66.1%
Uganda,37.6,23%
Ukraine,69.9,60.9%
United Arab Emirates,85.8,42.9%
United Kingdom,64.2,64.6%
United States,47.6,64.3%
Uruguay,84.7,53.2%
Uzbekistan,98.5,64.3%
Vanuatu,59.4,46.2%
Venezuela,69.4,44%
Vietnam,81.8,42.6%
Yemen,46.5,37.3%
Zambia,58.5,41.7%
Zimbabwe,49.6,33.9%
