Country / Region,Population (thousands),"Mean protein intake (g/day, Total)","Mean protein intake (g/day, Female)","Mean protein intake (g/day, Male)","Mean protein intake (% RDA, Total)","Mean protein intake (% RDA, Female)","Mean protein intake (% RDA, Male)"
World,7575436,75.2,65.8,84.5,167.1,155.8,178.2
East Asia & Pacific,2307038,82.2,73.2,91.1,181,173.7,188
Europe & Central Asia,912942,99.1,81.6,117.8,182.6,162.8,203.6
Latin America & Caribbean,624656,89,78.1,100.3,187.1,173.8,200.8
Middle East & North Africa,460509,92.5,78.8,105.1,191.6,172.1,209.6
North America,369802,95.5,82.5,108.4,163.5,152.3,174.6
South Asia,1828298,48.3,42.9,53.5,129.4,122,136.5
Sub-Saharan Africa,1072189,62.9,55.7,70.2,167.3,151.7,183
Afghanistan,35957,62.7,55.4,69.9,175.8,163.6,187.6
Albania,2861,82.3,69.7,95.1,156.6,143.9,169.6
Algeria,41899,82.7,70.8,94.1,173,152.8,192.3
Angola,30630,44.3,39.7,49.1,121.5,111.5,131.8
Antigua & Barbuda,90,117.7,104.1,132.8,222.3,203,243.6
Argentina,44152,92,77.9,106.4,186.6,171.4,202.1
Armenia,2871,121.8,106.6,139.6,244.9,221.3,272.6
Australia,25005,92.9,78.2,107.8,164.2,151.2,177.5
Austria,8776,77.2,64.3,90.5,139.3,130.8,148.1
Azerbaijan,9939,129.4,111.9,147.8,264.8,240.9,289.8
Bahamas,389,83.7,74.3,93.9,159.7,145.3,175.4
Bahrain,1472,105.9,82.1,120,190.2,168.5,203.1
Bangladesh,160973,49.4,44.8,54.1,134.2,125.8,142.8
Barbados,278,70.9,63.5,79,130.7,118,144.5
Belarus,9376,94.3,81.4,109.2,170.7,154.6,189.2
Belgium,11339,107.5,92.5,123,195.1,183.4,207.1
Belize,375,77.5,68.7,86.2,166.4,152.6,179.9
Benin,12119,55.1,48.8,61.4,144.9,132.5,157.2
Bhutan,753,63.5,55.7,70.1,151.6,139.7,161.8
Bolivia,11338,64.6,56.3,72.8,151.2,139.2,163.1
Bosnia & Herzegovina,3338,109.4,92.1,128.6,187.4,172,204.4
Botswana,2258,101.9,90.1,113.9,237.6,212.2,263.3
Brazil,203931,112.2,96.8,127.9,225.9,206.6,245.7
Brunei,434,94.6,81.5,106.1,195.9,183.9,206.4
Bulgaria,6938,76.9,64.8,89.8,137.3,127.2,148
Burkina Faso,20003,90.5,83.7,97.4,247.3,237.8,256.8
Burundi,11642,64.7,56.3,73.2,189.6,179.7,199.7
Cambodia,16004,70.7,63.5,78.2,189.3,179.4,199.7
Cameroon,24278,78.7,71.8,85.6,198,186.2,209.9
Canada,37171,105.6,91.1,120.2,185.2,174.6,196
Cape Verde,504,94.6,82.8,106.1,203.3,184.6,221.5
Central African Republic,4728,79,71.7,86.6,222.3,203.2,242.3
Chad,15756,57.5,51.1,63.8,160.8,149.6,172
Chile,18840,103.7,92,115.4,196.8,186.6,207.1
China,1406343,84.3,74.3,93.8,176.3,168.9,183.3
Colombia,48792,52.4,46.8,58,113.7,107.3,120.2
Comoros,756,67.4,59.8,74.9,170.5,154.5,186.3
Congo - Brazzaville,5376,95.7,85.3,106.1,253.9,233,274.9
Congo - Kinshasa,87795,34.4,29.3,39.5,99.1,86.2,112.3
Costa Rica,4913,77.7,67.9,87.7,160.1,147.1,173.3
Croatia,3968,115.1,96.9,134.7,194.2,178,211.7
Cuba,11104,97.4,85.9,109,199.5,185.8,213.6
Cyprus,1265,99,82.6,115.1,183.4,171.4,195.2
Czechia,10439,66.7,55.9,77.9,113.9,104.9,123.2
Côte d’Ivoire,26907,78.2,68.7,87.4,202.1,186.2,217.2
Denmark,5745,110.5,92.9,128.2,198.1,184.4,212
