age_group,prot_level,cal_scenario,prot_inad_EAR,prot_inad_OPT,cal_inad
1-4,lower,low,0.0516,0.1292,0.1407
1-4,lower,medium,0.0501,0.1247,0.1296
1-4,lower,high,0.0488,0.1206,0.1198
1-4,mean,low,0.0283,0.0728,0.1407
1-4,mean,medium,0.0275,0.0704,0.1296
1-4,mean,high,0.0267,0.0683,0.1198
1-4,upper,low,0.0161,0.042,0.1407
1-4,upper,medium,0.0156,0.0406,0.1296
1-4,upper,high,0.0152,0.0393,0.1198
5-9,lower,low,0.0486,0.1766,0.111
5-9,lower,medium,0.0471,0.1686,0.1003
5-9,lower,high,0.0457,0.1613,0.0911
5-9,mean,low,0.0272,0.0973,0.111
5-9,mean,medium,0.0263,0.0929,0.1003
5-9,mean,high,0.0255,0.089,0.0911
5-9,upper,low,0.016,0.0579,0.111
5-9,upper,medium,0.0156,0.0554,0.1003
5-9,upper,high,0.0151,0.0532,0.0911
10-14,lower,low,0.0806,0.4381,0.1066
10-14,lower,medium,0.0771,0.4201,0.0958
10-14,lower,high,0.074,0.4029,0.0866
10-14,mean,low,0.0425,0.2983,0.1066
10-14,mean,medium,0.0408,0.2831,0.0958
10-14,mean,high,0.0393,0.2689,0.0866
10-14,upper,low,0.0237,0.1957,0.1066
10-14,upper,medium,0.0227,0.1842,0.0958
10-14,upper,high,0.0218,0.1736,0.0866
15-19,lower,low,0.075,0.5052,0.1037
15-19,lower,medium,0.0718,0.4861,0.0928
15-19,lower,high,0.0688,0.4679,0.0834
15-19,mean,low,0.0398,0.3667,0.1037
15-19,mean,medium,0.0382,0.3499,0.0928
15-19,mean,high,0.0367,0.3341,0.0834
15-19,upper,low,0.0224,0.2603,0.1037
15-19,upper,medium,0.0215,0.2468,0.0928
15-19,upper,high,0.0206,0.2341,0.0834
20-24,lower,low,0.0531,0.3969,0.1039
20-24,lower,medium,0.0508,0.3778,0.0924
20-24,lower,high,0.0487,0.3599,0.0827
20-24,mean,low,0.0279,0.2673,0.1039
20-24,mean,medium,0.0267,0.2521,0.0924
20-24,mean,high,0.0256,0.238,0.0827
20-24,upper,low,0.0152,0.1811,0.1039
20-24,upper,medium,0.0145,0.1695,0.0924
20-24,upper,high,0.0138,0.1589,0.0827
25-29,lower,low,0.0529,0.4183,0.1051
25-29,lower,medium,0.0501,0.398,0.0931
25-29,lower,high,0.0477,0.3789,0.0828
25-29,mean,low,0.0271,0.2849,0.1051
25-29,mean,medium,0.0257,0.2687,0.0931
25-29,mean,high,0.0246,0.2536,0.0828
25-29,upper,low,0.0146,0.1959,0.1051
25-29,upper,medium,0.0138,0.1834,0.0931
25-29,upper,high,0.0132,0.172,0.0828
30-34,lower,low,0.0571,0.4504,0.106
30-34,lower,medium,0.0538,0.4292,0.0935
30-34,lower,high,0.0508,0.4091,0.0829
30-34,mean,low,0.0288,0.3124,0.106
30-34,mean,medium,0.0272,0.2953,0.0935
30-34,mean,high,0.0258,0.2794,0.0829
30-34,upper,low,0.0157,0.2194,0.106
30-34,upper,medium,0.0147,0.2063,0.0935
30-34,upper,high,0.0139,0.1941,0.0829
35-39,lower,low,0.0644,0.4888,0.1081
35-39,lower,medium,0.0603,0.4669,0.0951
35-39,lower,high,0.0567,0.4461,0.0841
35-39,mean,low,0.0323,0.3486,0.1081
35-39,mean,medium,0.0303,0.3302,0.0951
35-39,mean,high,0.0286,0.3131,0.0841
35-39,upper,low,0.0176,0.2511,0.1081
35-39,upper,medium,0.0164,0.2368,0.0951
35-39,upper,high,0.0154,0.2235,0.0841
40-44,lower,low,0.0745,0.5238,0.1079
40-44,lower,medium,0.0695,0.5013,0.0946
40-44,lower,high,0.065,0.4799,0.0832
40-44,mean,low,0.0374,0.3795,0.1079
40-44,mean,medium,0.0349,0.36,0.0946
